Index Coding (Basic Antidotes) Log File
2013/24/01 17:48:22

N	PIECES	numTDMA	numIndex	epsAvg	epsVec
8	4	10	4	0.33929	0.500	0.286	0.214	0.357	0.357	0.429	0.429	0.143
8	4	13	7	0.25000	0.500	0.150	0.150	0.300	0.500	0.250	0.150	0.000
8	4	11	4	0.30000	0.600	0.200	0.200	0.133	0.400	0.400	0.333	0.133
8	4	14	5	0.25000	0.316	0.000	0.158	0.421	0.579	0.316	0.105	0.105
8	4	10	5	0.21667	0.400	0.067	0.133	0.333	0.200	0.400	0.200	0.000
8	4	11	5	0.21875	0.250	0.125	0.250	0.312	0.250	0.250	0.188	0.125
8	4	10	5	0.21667	0.333	0.200	0.067	0.400	0.267	0.200	0.200	0.067
8	4	8	7	0.22500	0.333	0.067	0.133	0.400	0.400	0.133	0.200	0.133
8	4	10	5	0.20833	0.267	0.200	0.200	0.200	0.267	0.067	0.467	0.000
8	4	11	5	0.26562	0.312	0.312	0.250	0.125	0.250	0.375	0.312	0.188
8	4	11	5	0.26562	0.375	0.188	0.188	0.312	0.250	0.188	0.438	0.188
8	4	9	4	0.23077	0.462	0.077	0.077	0.308	0.231	0.231	0.385	0.077
random
8	4	9	8	0.20588	0.353	0.118	0.118	0.235	0.412	0.118	0.235	0.059
8	4	9	7	0.24219	0.312	0.062	0.125	0.438	0.250	0.438	0.250	0.062
8	4	16	8	0.25521	0.375	0.083	0.333	0.208	0.375	0.250	0.333	0.083
8	4	15	8	0.21196	0.304	0.087	0.217	0.261	0.348	0.174	0.261	0.043
8	4	9	7	0.22656	0.250	0.000	0.312	0.312	0.438	0.250	0.250	0.000
8	4	14	7	0.24405	0.286	0.143	0.190	0.381	0.333	0.143	0.381	0.095
8	4	11	8	0.26974	0.368	0.158	0.368	0.263	0.263	0.211	0.421	0.105
8	4	13	8	0.24405	0.381	0.143	0.238	0.381	0.381	0.238	0.143	0.048
8	4	12	7	0.31579	0.368	0.158	0.316	0.474	0.474	0.158	0.474	0.105
8	4	10	8	0.20139	0.167	0.000	0.333	0.333	0.389	0.222	0.167	0.000
8	4	10	7	0.19853	0.235	0.000	0.176	0.118	0.529	0.235	0.235	0.059
8	4	8	7	0.20833	0.333	0.067	0.133	0.267	0.400	0.067	0.333	0.067
8	4	13	7	0.18750	0.150	0.050	0.050	0.500	0.200	0.250	0.200	0.100
8	4	9	7	0.21875	0.188	0.062	0.062	0.312	0.562	0.250	0.312	0.000
8	4	11	7	0.24306	0.167	0.167	0.278	0.389	0.389	0.222	0.278	0.056
8	4	10	7	0.24265	0.235	0.000	0.294	0.294	0.353	0.412	0.353	0.000
8	4	9	7	0.23438	0.500	0.125	0.188	0.125	0.500	0.188	0.188	0.062
8	4	15	7	0.26136	0.318	0.091	0.045	0.500	0.364	0.455	0.227	0.091
8	4	9	7	0.19531	0.188	0.062	0.188	0.250	0.312	0.062	0.188	0.312
8	4	13	7	0.29375	0.450	0.150	0.150	0.400	0.450	0.150	0.200	0.400
8	4	11	7	0.23611	0.278	0.111	0.056	0.278	0.333	0.222	0.278	0.333
8	4	14	8	0.17614	0.409	0.182	0.091	0.136	0.273	0.045	0.136	0.136
8	4	11	7	0.27778	0.333	0.222	0.222	0.278	0.333	0.333	0.167	0.333
8	4	8	7	0.14167	0.267	0.067	0.067	0.067	0.267	0.000	0.267	0.133
8	4	10	7	0.24265	0.353	0.353	0.176	0.235	0.412	0.059	0.176	0.176
index
8	4	9	6	0.20000	0.333	0.067	0.133	0.333	0.067	0.067	0.200	0.400
8	4	11	5	0.24219	0.250	0.125	0.250	0.250	0.188	0.125	0.562	0.188
8	4	9	5	0.25893	0.429	0.071	0.214	0.429	0.214	0.071	0.286	0.357
8	4	9	4	0.25000	0.385	0.154	0.077	0.308	0.385	0.000	0.231	0.462
8	4	11	5	0.42188	0.625	0.438	0.250	0.375	0.438	0.250	0.438	0.562
8	4	15	7	0.33523	0.591	0.455	0.409	0.318	0.227	0.182	0.182	0.318
8	4	11	4	0.24167	0.333	0.133	0.333	0.133	0.400	0.067	0.267	0.267
8	4	11	6	0.25000	0.412	0.118	0.118	0.294	0.353	0.118	0.294	0.294
8	4	11	6	0.20588	0.294	0.059	0.059	0.235	0.471	0.118	0.294	0.118
8	4	9	4	0.31731	0.462	0.154	0.231	0.231	0.385	0.231	0.538	0.308
8	4	19	13	0.31641	0.312	0.188	0.500	0.281	0.375	0.125	0.375	0.375
